state,year,deaths,pop,rate_per_million,log_pop
DC,2018,1,704147,1.4201580067798343,13.464742420161253
DC,2019,1,708253,1.4119248347694962,13.470556653476239
DC,2020,1,670917,1.4904973342455177,13.416400712326686
DC,2021,7,669256,10.459375784453185,13.41392192660203
DC,2022,3,676725,4.433115371827552,13.425020265530812
DC,2023,4,687324,5.8196716541252735,13.44056107574927
DC,2024,2,702250,2.8479886080455676,13.46204474496649
DE,2015,3,942065,3.184493638973956,13.755829553301105
DE,2016,1,949989,1.0526437674541496,13.764205684562318
DE,2017,6,957942,6.263427222107393,13.772542512322714
DE,2018,0,966985,0,13.78193826242267
DE,2019,2,976668,2.0477787743634477,13.791902057511923
DE,2020,2,991928,2.016275374825592,13.807405802987747
DE,2021,2,1005062,1.9899269895787524,13.820559789114757
DE,2022,2,1020625,1.9595835884874464,13.835925742706866
DE,2023,2,1036423,1.9297140260299124,13.851285919627632
DE,2024,2,1051917,1.9012906911857115,13.866124771828831
FL,2015,61,20219111,3.0169476788568996,16.82213880422012
FL,2016,60,20627237,2.908775421545794,16.842122944909654
FL,2017,57,20977089,2.7172502342913263,16.858941400113977
FL,2018,64,21254926,3.0110667051957742,16.87209923823521
FL,2019,63,21492056,2.9313156451853652,16.88319393644815
FL,2020,93,21592035,4.307143814837277,16.887835054649393
FL,2021,50,21831949,2.2902215464134694,16.89888500534706
FL,2022,62,22379312,2.7704158197535294,16.923647518641825
FL,2023,81,22904868,3.5363661558756854,16.946860022352517
FL,2024,81,23372215,3.4656535548727407,16.96705848165574
GA,2015,29,10183353,2.847785007551049,16.136264886172132
GA,2016,27,10308442,2.619212486232158,16.148473729152137
GA,2017,29,10417031,2.7839026302216054,16.15895262086693
GA,2018,44,10519389,4.182752439328938,16.16873068373923
GA,2019,37,10628020,3.4813634148223285,16.179004467681676
GA,2020,40,10732888,3.7268627046140796,16.188823230302535
GA,2021,51,10792060,4.725696484267137,16.194321236528108
GA,2022,49,10931805,4.482333887221736,16.20718698832984
GA,2023,49,11064432,4.428605101463861,16.21924619711762
GA,2024,38,11180878,3.3986597474724256,16.229715555702477
HI,2015,2,1422999,1.405482365061395,14.168277174331054
HI,2016,6,1428885,4.199078302312642,14.172404977816406
HI,2017,3,1425763,2.1041365219885773,14.170217666985282
HI,2018,11,1423102,7.7295935217574,14.168349554053378
HI,2019,7,1415615,4.944847292519506,14.163074623610926
HI,2020,2,1451252,1.3781204091363872,14.187937190115598
HI,2021,6,1447029,4.1464269202621375,14.185023046877893
HI,2022,2,1440359,1.388542717475296,14.180402946036272
HI,2023,4,1441387,2.7751048122398774,14.181116402422509
HI,2024,4,1446146,2.765972453680334,14.184412644792008
IA,2015,5,3122541,1.6012599994683818,14.954157651400068
IA,2016,5,3133210,1.5958074945503173,14.957568596095303
IA,2017,5,3143734,1.5904653510761406,14.960921823354015
IA,2018,9,3149900,2.857233562970253,14.962881264266153
IA,2019,5,3159596,1.582480798177995,14.965954729288564
IA,2020,6,3191141,1.8802052306682782,14.975889091059479
IA,2021,9,3198613,2.8137195715768053,14.97822783630877
IA,2022,6,3202820,1.8733491110958467,14.97954222969715
IA,2023,4,3218414,1.2428481854727205,14.984399249595826
IA,2024,9,3241488,2.776502643230516,14.991543041600515
ID,2015,7,1652495,4.2360188684383315,14.317796824984793
ID,2016,6,1684036,3.56286920232109,14.336703851228119
ID,2017,6,1719745,3.488889341152322,14.357686581984703
ID,2018,13,1752074,7.419777931754024,14.376310787029421
ID,2019,7,1789060,3.9126692229438924,14.397200900218008
ID,2020,6,1849415,3.2442691337531055,14.430379930831402
ID,2021,13,1904848,6.824691523943118,14.459912773333299
ID,2022,7,1944299,3.6002693001436508,14.480412058759864
ID,2023,14,1971122,7.102553773941947,14.494113481733237
ID,2024,11,2001619,5.495551351181219,14.509466911055807
IL,2015,21,12859585,1.6330231496584067,16.369600005646507
IL,2016,26,12821709,2.027810801196627,16.366650307904457
IL,2017,19,12779893,1.4867104129901556,16.36338363442165
IL,2018,20,12724685,1.5717481415060568,16.359054365674034
IL,2019,13,12667017,1.02628740452468,16.354512086534815
IL,2020,13,12799088,1.0156973684375012,16.364884476351445
IL,2021,28,12700641,2.204613137242443,16.357163022596072
IL,2022,24,12621821,1.9014688926423533,16.35093769943806
IL,2023,25,12642259,1.9774946866695262,16.352555649069192
IL,2024,23,12710158,1.8095762460230629,16.35791207424494
IN,2015,19,6611442,2.873805744646932,15.704312342347327
IN,2016,14,6637898,2.109101405294266,15.70830590506988
IN,2017,19,6662068,2.8519672870345967,15.711940504828672
IN,2018,18,6698481,2.6871763911848072,15.717391342239232
IN,2019,16,6731010,2.3770578263886106,15.722235764655096
IN,2020,25,6790497,3.6816156461007195,15.73103469273248
IN,2021,21,6815907,3.081027954166628,15.734769703032006
IN,2022,17,6844545,2.483729743905548,15.73896254261805
IN,2023,33,6880131,4.796420300718111,15.74414825042593
IN,2024,32,6924275,4.621422459391056,15.750543911416173
KS,2015,9,2910717,3.092021656519682,14.88391000055079
KS,2016,10,2912977,3.432914163070975,14.884686140270167
KS,2017,12,2910892,4.122447689574192,14.883970121386817
KS,2018,7,2912748,2.403228840943329,14.884607523445611
KS,2019,9,2912635,3.089985528567775,14.884568727713207
KS,2020,7,2938172,2.3824337036769805,14.893298177229056
KS,2021,11,2938338,3.7436128859239473,14.893354673346666
KS,2022,12,2937324,4.085351156358645,14.893009520745965
KS,2023,9,2951500,3.049296967643571,14.897824073662882
KS,2024,13,2970606,4.37621145315131,14.904276530369511
KY,2015,16,4429126,3.612450853735026,15.303712831360462
KY,2016,18,4440306,4.0537746722860994,15.306233850952527
KY,2017,17,4455590,3.815431850776216,15.309670045584014
KY,2018,20,4464273,4.480012759076338,15.311616937087315
KY,2019,15,4472345,3.353945189827708,15.313423437531938
KY,2020,20,4508318,4.436244293326247,15.321434692913869
KY,2021,22,4507583,4.880664427033291,15.32127164764493
KY,2022,16,4519233,3.5404237843014514,15.323852847143906
KY,2023,18,4550595,3.955526694860782,15.330768551608353
KY,2024,17,4588372,3.7050178145974213,15.339035835025586
LA,2015,27,4666998,5.785303529163715,15.356026596391043
LA,2016,19,4681346,4.058661760955076,15.359096233380518
LA,2017,19,4673673,4.065325066601792,15.357455830144433
LA,2018,15,4664450,3.2158132255678593,15.355480486063186
LA,2019,19,4658285,4.078754305500844,15.354157912612658
LA,2020,20,4652301,4.2989479829443535,15.352872493880916
LA,2021,22,4627971,4.753703080680497,15.347629101070368
LA,2022,19,4593687,4.136111145578704,15.340193527563528
LA,2023,20,4588071,4.359130449376219,15.33897023226423
LA,2024,20,4597740,4.349963242810598,15.34107543638197
MA,2015,9,6797484,1.3240192989053008,15.732063101679445
MA,2016,12,6827280,1.7576545857208141,15.736436909181764
MA,2017,3,6863560,0.43709095571394435,15.741736815531176
MA,2018,3,6885720,0.43568428573918194,15.74496025984069
MA,2019,5,6894883,0.7251754670818924,15.746290100247583
MA,2020,6,6994598,0.857804837390226,15.760648694809118
MA,2021,11,7000474,1.5713221704701712,15.761488419012792
MA,2022,5,7022468,0.7120003964418208,15.764625281168382
MA,2023,5,7066568,0.7075570489097395,15.770885488612507
MA,2024,2,7136171,0.2802623423681972,15.78068691595936
MD,2015,15,5988528,2.5047891568679317,15.605356196987055
MD,2016,15,6007014,2.497080912413389,15.608438344443867
MD,2017,9,6028186,1.4929864473325807,15.611956694257795
MD,2018,12,6042153,1.9860470266145196,15.614270963348954
MD,2019,19,6054954,3.1379263987802384,15.616387337913222
MD,2020,14,6177935,2.266129378182192,15.636494631201042
MD,2021,16,6179403,2.589246890031286,15.636732222825858
MD,2022,11,6192440,1.7763595610131064,15.638839751158622
MD,2023,7,6217062,1.1259337609951452,15.64280800585737
MD,2024,11,6263220,1.7562851057443296,15.650204987826587
ME,2015,2,1329098,1.5047799334586314,14.100011074630622
ME,2016,2,1332348,1.5011093197873229,14.102453357220952
ME,2017,9,1335743,6.737823069258083,14.104998249304696
ME,2018,3,1340123,2.238600486671746,14.10827195875933
ME,2019,3,1345770,2.2292070710448293,14.112476897914108
ME,2020,4,1364571,2.9313242037241007,14.126350651488806
ME,2021,6,1378931,4.3511966878690815,14.136819119265425
ME,2022,5,1390922,3.5947378789033464,14.145477394566976
ME,2023,5,1399646,3.5723318610562957,14.151729905468873
ME,2024,10,1405012,7.117376933435445,14.155556401638776
MI,2015,16,9934483,1.6105518525724993,16.1115223943654
MI,2016,12,9954117,1.2055313394447744,16.113496792400273
MI,2017,14,9976752,1.4032623042048153,16.115768144415206
MI,2018,20,9987286,2.002546037031482,16.116823442043632
MI,2019,13,9984795,1.3019796600731413,16.1165739938251
MI,2020,17,10072703,1.687729698771025,16.12533964972889
MI,2021,25,10041351,2.489704821592234,16.122222224928226
MI,2022,20,10050877,1.9898761073287436,16.123170452343697
MI,2023,29,10083356,2.8760265927336097,16.126396701704373
MI,2024,21,10140459,2.0709121746855836,16.132043821375014
MN,2015,12,5484002,2.1881830094153867,15.517345684361576
MN,2016,14,5525360,2.533771555156587,15.524858961616417
MN,2017,10,5569283,1.7955632708914235,15.53277687830347
MN,2018,12,5608762,2.1395095744836383,15.539840575784194
MN,2019,11,5640053,1.9503362823008932,15.545404020593208
MN,2020,8,5710735,1.4008704658857398,15.557858294889442
MN,2021,12,5718660,2.098393679638237,15.559245070177212
MN,2022,9,5721621,1.5729808038665967,15.559762714816555
MN,2023,8,5753048,1.3905672262772708,15.565240359283594
MN,2024,11,5793151,1.8987939378759504,15.572186915680705
MO,2015,21,6075411,3.4565562724892196,15.619760199223423
MO,2016,21,6091384,3.4474923925334537,15.622385871666609
MO,2017,31,6111382,5.07250242252898,15.625663492150828
MO,2018,24,6125986,3.9177366712885076,15.628050281031078
MO,2019,28,6140475,4.5599078247204,15.630412658694592
MO,2020,25,6154744,4.06190736771505,15.63273372453425
MO,2021,31,6171374,5.023192566193525,15.635432061527338
MO,2022,29,6179414,4.693001634135534,15.63673400293151
MO,2023,27,6208038,4.3492001820865145,15.641355461960478
MO,2024,26,6245466,4.163020021244212,15.647366318453662
MS,2015,8,2990231,2.675378591152322,14.910861199907744
MS,2016,8,2990595,2.675052957689022,14.910982922225179
MS,2017,17,2990674,5.684337376791988,14.911009338024236
MS,2018,10,2982879,3.3524658559733735,14.908399499482758
MS,2019,18,2978227,6.043864352851545,14.906838714975866
MS,2020,10,2958536,3.380050132903571,14.900205109353397
MS,2021,22,2947209,7.464689474007442,14.89636917878439
MS,2022,13,2941939,4.4188543678166,14.894579445734138
MS,2023,16,2943172,5.436311571325088,14.894998469272705
MS,2024,17,2943045,5.776330297362086,14.894955317618589
MT,2015,4,1031495,3.877866591694579,13.846519764171953
MT,2016,5,1042137,4.797833682135842,13.856783970580047
MT,2017,6,1053862,5.693345048972256,13.86797206972012
MT,2018,6,1061818,5.6506858990900515,13.875493091333093
