id,state,year,age_group,gender,race,whether_mental_ill,armed,flee,body_camera_binary
163,NC,2015,18–29,female,B,yes,yes,no,0
165,TX,2015,30–44,male,H,no,no,no,0
166,AL,2015,30–44,male,B,no,yes,no,0
255,AL,2015,60+,male,B,yes,yes,no,0
167,NM,2015,30–44,male,W,no,yes,no,0
168,IN,2015,45–59,male,W,no,yes,no,0
170,FL,2015,45–59,male,W,no,yes,no,0
172,LA,2015,45–59,male,W,yes,yes,no,0
174,GA,2015,30–44,male,W,no,yes,no,0
175,GA,2015,30–44,male,W,no,yes,yes,0
176,AL,2015,Under 18,male,B,no,yes,no,0
266,PA,2015,30–44,male,W,no,yes,yes,0
371,NE,2015,30–44,male,W,no,no,no,0
177,WI,2015,30–44,male,W,yes,yes,no,0
178,OK,2015,18–29,male,B,no,Unknown,yes,0
179,NV,2015,30–44,male,W,yes,yes,no,0
180,IN,2015,30–44,male,W,no,no,no,0
181,FL,2015,30–44,male,H,no,yes,yes,0
182,CA,2015,18–29,male,H,no,yes,no,0
183,MS,2015,45–59,male,W,no,no,no,0
184,GA,2015,30–44,female,W,no,yes,yes,0
185,CA,2015,18–29,male,H,no,no,no,0
186,SC,2015,18–29,male,W,no,yes,no,0
187,MI,2015,Under 18,male,W,no,no,no,1
188,MO,2015,30–44,male,B,no,no,yes,0
189,AZ,2015,18–29,female,H,no,yes,no,0
190,MO,2015,18–29,male,B,no,yes,yes,0
191,NC,2015,30–44,male,B,yes,yes,yes,0
192,AZ,2015,30–44,female,W,no,yes,yes,0
194,CA,2015,30–44,male,B,yes,no,no,1
195,TX,2015,30–44,male,A,no,yes,no,0
268,MS,2015,45–59,male,W,no,yes,no,0
196,IL,2015,18–29,male,B,no,yes,yes,0
197,MD,2015,18–29,male,B,no,yes,no,0
198,AZ,2015,18–29,male,W,no,yes,no,0
199,FL,2015,18–29,male,W,no,no,no,0
249,CA,2015,18–29,male,A,no,yes,no,0
200,WI,2015,45–59,male,B,yes,yes,no,0
201,CA,2015,30–44,male,H,no,no,yes,0
202,NE,2015,30–44,male,W,no,yes,no,0
203,WI,2015,18–29,male,B,no,no,yes,0
269,CO,2015,30–44,male,B,no,no,yes,0
270,FL,2015,45–59,male,B,no,Unknown,no,0
271,AZ,2015,18–29,male,W,no,yes,no,0
204,CA,2015,30–44,female,B,yes,yes,no,1
272,OK,2015,30–44,male,H,no,yes,no,0
273,DE,2015,30–44,male,W,no,Unknown,yes,0
205,GA,2015,18–29,male,B,yes,no,no,0
274,NC,2015,45–59,male,W,no,yes,no,0
275,CO,2015,45–59,male,W,no,yes,no,0
276,FL,2015,30–44,male,B,no,yes,no,0
206,OH,2015,60+,male,B,no,yes,no,1
278,LA,2015,30–44,male,B,no,yes,no,0
536,GA,2015,18–29,male,W,no,yes,no,1
883,CA,2015,30–44,male,H,yes,yes,yes,0
248,MD,2015,30–44,male,B,no,Unknown,no,0
277,TN,2015,30–44,male,W,yes,yes,no,0
279,CA,2015,30–44,male,H,no,yes,no,0
281,AZ,2015,30–44,male,W,yes,no,no,0
307,AL,2015,45–59,male,W,no,yes,no,0
581,AL,2015,45–59,male,W,yes,yes,no,0
796,CA,2015,18–29,male,H,no,Unknown,no,0
282,DC,2015,30–44,male,B,yes,no,no,0
207,CA,2015,30–44,male,H,no,yes,yes,0
283,MO,2015,45–59,male,W,no,yes,no,0
289,CA,2015,30–44,male,W,no,yes,no,0
351,CA,2015,30–44,male,H,no,no,yes,0
208,WV,2015,45–59,male,W,no,yes,no,0
209,WI,2015,18–29,male,W,no,yes,yes,0
287,TX,2015,18–29,male,H,yes,yes,no,0
210,MS,2015,18–29,male,W,no,yes,no,0
212,MN,2015,18–29,male,W,yes,yes,no,0
213,NC,2015,45–59,male,W,yes,yes,no,0
216,OR,2015,45–59,male,W,yes,yes,no,0
217,NC,2015,18–29,male,W,no,yes,yes,0
221,CA,2015,18–29,female,W,yes,yes,no,0
290,TX,2015,18–29,male,W,yes,yes,no,0
292,CA,2015,18–29,male,H,no,no,yes,0
225,AZ,2015,45–59,female,W,no,yes,no,0
226,FL,2015,60+,male,W,no,yes,no,0
294,CA,2015,45–59,male,W,no,yes,no,0
228,AL,2015,30–44,male,W,yes,yes,no,1
229,OH,2015,18–29,male,B,no,no,no,0
230,ID,2015,30–44,male,W,no,yes,no,1
265,FL,2015,Under 18,male,B,no,yes,yes,0
295,WA,2015,18–29,male,W,yes,no,no,0
306,CA,2015,30–44,male,W,no,yes,no,0
308,LA,2015,60+,male,B,yes,yes,no,0
310,OK,2015,30–44,male,W,no,yes,no,0
531,AZ,2015,18–29,male,N,no,yes,yes,0
235,AZ,2015,18–29,male,W,no,yes,no,0
309,NY,2015,30–44,male,W,no,yes,yes,0
311,IN,2015,60+,male,W,yes,yes,no,0
312,OH,2015,30–44,male,W,no,yes,no,0
231,CA,2015,30–44,male,W,yes,yes,no,0
233,OR,2015,30–44,male,W,yes,yes,yes,0
234,NY,2015,18–29,male,B,no,no,yes,0
237,CA,2015,18–29,male,B,no,yes,no,0
238,VA,2015,18–29,male,B,yes,yes,yes,0
247,CA,2015,45–59,male,W,yes,yes,no,0
313,WI,2015,30–44,male,W,no,yes,no,0
239,GA,2015,18–29,male,B,no,no,yes,1
240,SC,2015,18–29,male,B,no,yes,yes,0
241,CA,2015,18–29,male,H,no,yes,yes,0
242,AZ,2015,60+,male,W,yes,yes,no,0
246,KS,2015,45–59,female,W,no,yes,no,0
250,CA,2015,30–44,male,H,yes,yes,no,0
245,CA,2015,18–29,female,B,no,yes,no,0
251,WV,2015,30–44,male,W,no,yes,yes,0
254,MA,2015,30–44,male,B,no,yes,no,0
256,CA,2015,45–59,male,W,yes,yes,no,0
257,FL,2015,30–44,male,B,no,yes,no,0
258,CA,2015,18–29,male,H,no,no,yes,0
316,MA,2015,30–44,male,W,no,yes,yes,0
252,KY,2015,18–29,male,B,no,yes,no,0
264,OH,2015,18–29,male,W,no,Unknown,yes,0
244,NV,2015,45–59,male,Unknown,no,yes,no,0
262,OR,2015,45–59,male,W,yes,yes,no,0
259,FL,2015,30–44,male,W,no,yes,no,0
261,TX,2015,18–29,male,H,no,no,no,0
263,MD,2015,18–29,female,B,no,yes,yes,0
267,CA,2015,30–44,male,B,no,yes,no,0
533,NJ,2015,30–44,male,W,no,yes,no,0
286,IL,2015,30–44,male,B,no,yes,yes,0
288,IL,2015,60+,male,W,yes,yes,no,0
291,OK,2015,30–44,male,B,no,no,no,0
303,LA,2015,18–29,male,W,yes,yes,no,0
299,VA,2015,30–44,male,W,no,yes,no,1
296,IL,2015,Under 18,male,B,no,yes,yes,0
297,SC,2015,45–59,male,B,no,no,yes,0
300,CA,2015,30–44,male,B,no,yes,no,1
302,NM,2015,30–44,male,W,yes,yes,yes,0
301,AZ,2015,45–59,male,W,yes,yes,no,0
304,CA,2015,45–59,male,W,no,yes,no,0
298,IN,2015,18–29,male,W,yes,yes,no,0
318,LA,2015,18–29,male,B,no,yes,yes,0
322,ID,2015,30–44,male,W,no,yes,yes,0
319,OK,2015,30–44,male,W,no,yes,yes,0
329,TX,2015,60+,male,W,no,yes,yes,0
330,GA,2015,30–44,male,B,no,Unknown,yes,0
331,CA,2015,30–44,male,H,no,yes,yes,0
359,CA,2015,18–29,male,A,yes,yes,no,0
332,FL,2015,18–29,male,W,no,yes,no,0
333,IN,2015,18–29,male,B,no,yes,yes,0
340,PA,2015,30–44,male,W,yes,yes,no,0
343,SC,2015,18–29,male,W,no,yes,no,0
534,OK,2015,45–59,male,W,no,Unknown,yes,0
335,CA,2015,18–29,male,H,no,yes,no,0
377,KS,2015,30–44,male,W,no,yes,yes,0
358,OK,2015,60+,male,W,yes,yes,no,1
355,IN,2015,30–44,male,B,no,yes,yes,1
357,OK,2015,60+,male,W,yes,yes,no,0
362,NC,2015,30–44,male,W,yes,yes,yes,0
356,IL,2015,18–29,male,H,no,yes,no,0
363,TX,2015,18–29,male,B,no,no,yes,0
364,AR,2015,30–44,male,W,yes,yes,no,0
365,FL,2015,18–29,male,B,no,yes,yes,0
366,SC,2015,30–44,male,B,no,yes,no,0
367,TX,2015,30–44,male,B,no,no,yes,0
368,MO,2015,45–59,male,W,no,no,yes,1
369,CO,2015,60+,male,W,yes,yes,no,0
374,CA,2015,45–59,male,H,yes,no,no,0
373,CA,2015,45–59,male,H,no,yes,no,0
380,IL,2015,18–29,male,B,no,yes,yes,0
381,CA,2015,18–29,male,H,no,yes,no,0
382,MO,2015,18–29,male,B,yes,yes,no,1
376,AZ,2015,30–44,male,H,yes,yes,no,0
379,FL,2015,45–59,male,W,no,yes,no,0
378,KY,2015,30–44,male,W,yes,yes,no,0
383,NE,2015,30–44,male,W,no,yes,no,0
399,TX,2015,18–29,male,H,no,yes,no,0
393,WA,2015,30–44,male,N,yes,no,yes,0
398,SC,2015,45–59,male,W,yes,yes,no,0
495,CA,2015,30–44,male,H,yes,yes,no,0
537,NJ,2015,30–44,male,B,no,Unknown,no,0
391,VA,2015,18–29,male,B,no,no,no,0
394,AZ,2015,45–59,male,H,no,yes,no,0
395,NY,2015,30–44,male,W,yes,yes,yes,0
396,TX,2015,30–44,male,B,no,yes,yes,0
397,CO,2015,30–44,male,A,no,yes,no,0
392,CA,2015,18–29,male,W,yes,no,no,0
400,OK,2015,45–59,male,W,no,yes,no,0
409,CA,2015,18–29,male,H,no,no,no,0
401,CA,2015,45–59,female,W,no,Unknown,yes,0
402,OR,2015,45–59,male,W,no,yes,no,0
